transaction_id,merchant,amount,country,hour,device,platform,is_fraud,fraud_type
1,Amazon,120,TH,14,Mobile,App,0,
2,Starbucks,5,TH,9,Mobile,App,0,
3,Netflix,15,TH,21,Laptop,Web,0,
4,LocalMart,8,TH,18,POS,POS,0,
5,Apple,180,TH,13,Mobile,App,0,
6,Google,90,TH,16,Laptop,Web,0,
7,US Parking,60,US,2,Unknown,Web,1,foreign_suspicious
8,Online Casino,250,PH,3,Desktop,Web,1,high_risk_merchant
9,Amazon,130,TH,15,Mobile,App,0,
10,Apple,200,TH,14,Mobile,App,0,
11,Starbucks,6,TH,8,Mobile,App,0,
12,Random Shop,75,SG,1,Unknown,Web,1,foreign_unusual_time
13,Amazon,50,TH,10,Mobile,App,0,
14,LocalMart,12,TH,19,POS,POS,0,
15,Luxury Watch Store,3500,TH,14,Mobile,App,1,high_amount
16,Netflix,15,TH,22,Laptop,Web,0,
17,Gas Station Nigeria,80,NG,4,Unknown,Web,1,foreign_suspicious
18,Starbucks,5,TH,8,Mobile,App,0,
19,Crypto Exchange,1200,TH,3,Desktop,Web,1,high_risk_merchant
20,Amazon,95,TH,15,Mobile,App,0,
21,Apple Store,220,TH,13,Laptop,Web,0,
22,Unknown Merchant XYZ,450,VN,2,Tablet,Web,1,foreign_new_device
23,Google,85,TH,16,Laptop,Web,0,
24,Starbucks,6,TH,9,Mobile,App,0,
25,LocalMart,15,TH,18,POS,POS,0,
26,7-Eleven,25,TH,7,Mobile,App,0,
27,McDonald's,35,TH,12,Mobile,App,0,
28,Grab,150,TH,20,Mobile,App,0,
29,Shopee,280,TH,19,Mobile,App,0,
30,Lazada,420,TH,14,Laptop,Web,0,
31,Shell Gas,800,TH,8,POS,POS,0,
32,Tesco Lotus,1200,TH,17,POS,POS,0,
33,Big C,350,TH,16,POS,POS,0,
34,Central World,890,TH,15,POS,POS,0,
35,Siam Paragon,1500,TH,13,POS,POS,0,
36,Terminal 21,450,TH,14,Mobile,App,0,
37,MBK Center,320,TH,18,Mobile,App,0,
38,The Mall,670,TH,16,Laptop,Web,0,
39,Tops Supermarket,180,TH,19,POS,POS,0,
40,Villa Market,250,TH,10,POS,POS,0,
41,FamilyMart,45,TH,22,Mobile,App,0,
42,Netflix,15,TH,21,Laptop,Web,0,
43,Spotify,150,TH,11,Mobile,App,0,
44,YouTube Premium,180,TH,20,Laptop,Web,0,
45,Disney Plus,280,TH,19,Mobile,App,0,
46,Amazon,110,TH,15,Mobile,App,0,
47,eBay,340,TH,16,Laptop,Web,0,
48,AliExpress,180,TH,14,Mobile,App,0,
49,Zalora,560,TH,20,Laptop,Web,0,
50,Pomelo,890,TH,18,Mobile,App,0,
51,Mysterious Shop RU,2500,RU,3,Unknown,Web,1,foreign_high_amount
52,Bitcoin ATM,5000,TH,2,Unknown,POS,1,crypto_unusual_time
53,Offshore Gambling,1800,MT,4,Desktop,Web,1,high_risk_merchant
54,Unknown Payment CN,950,CN,1,Tablet,Web,1,foreign_unusual_time
55,Forex Trading,3200,CY,3,Desktop,Web,1,high_risk_merchant
